wl,alpha,beta
720.0,0.138413,0.7322569999999999
723.0,0.087939,0.704546
726.0,0.01755,0.681942
729.0,-0.072747,0.669617
732.0,-0.176751,0.6749229999999999
735.0,-0.27460100000000004,0.706466
738.0,-0.333476,0.765462
741.0,-0.325574,0.837838
744.0,-0.25479,0.899684
747.0,-0.15423699999999999,0.9347049999999999
750.0,-0.058182000000000005,0.9416059999999999
753.0,0.013991,0.927309
756.0,0.056182,0.899487
759.0,0.066528,0.8643959999999999
762.0,0.044807,0.828458
765.0,-0.005032,0.798646
768.0,-0.07587999999999999,0.7792439999999999
771.0,-0.155932,0.776151
774.0,-0.223546,0.793425
777.0,-0.257993,0.826642
780.0,-0.250761,0.8651139999999999
783.0,-0.21101,0.8975420000000001
786.0,-0.15559,0.9177629999999999
789.0,-0.098755,0.9250799999999999
792.0,-0.048731000000000003,0.921485
795.0,-0.009028,0.909479
798.0,0.019412000000000002,0.891127
801.0,0.03717,0.8677370000000001
804.0,0.044964,0.8400489999999999
807.0,0.042355000000000004,0.808709
810.0,0.029244,0.773899
813.0,0.0050869999999999995,0.735644
816.0,-0.031162,0.693864
819.0,-0.081137,0.648563
822.0,-0.147005,0.600156
825.0,-0.23122399999999999,0.549916
828.0,-0.335362,0.501074
831.0,-0.458049,0.460582
834.0,-0.589739,0.440817
837.0,-0.7055939999999999,0.458517
840.0,-0.767981,0.5249520000000001
843.0,-0.750101,0.6303479999999999
846.0,-0.662352,0.744484
849.0,-0.542287,0.8395809999999999
852.0,-0.42318999999999996,0.9055190000000001
855.0,-0.320732,0.9453020000000001
858.0,-0.237094,0.9660030000000001
861.0,-0.17111800000000002,0.9732959999999999
864.0,-0.119756,0.9714299999999999
867.0,-0.08024400000000001,0.963168
870.0,-0.050438,0.950269
873.0,-0.028758999999999996,0.933853
876.0,-0.014072999999999999,0.914646
879.0,-0.005581,0.893125
882.0,-0.002738,0.86961
885.0,-0.0051990000000000005,0.844325
888.0,-0.012339,0.8179
891.0,-0.024439,0.790223
894.0,-0.04166,0.7613409999999999
897.0,-0.064131,0.731453
900.0,-0.09203,0.700829
