wl,alpha,beta
270.0,0.49328500000000003,0.607456
273.0,0.5155810000000001,0.594629
276.0,0.535918,0.584218
279.0,0.554308,0.575651
282.0,0.571067,0.568333
285.0,0.586517,0.561917
288.0,0.6008319999999999,0.556343
291.0,0.6141949999999999,0.5513239999999999
294.0,0.626775,0.5467529999999999
297.0,0.6386649999999999,0.542721
300.0,0.64994,0.539211
303.0,0.6606390000000001,0.536234
306.0,0.670782,0.533892
309.0,0.680409,0.53213
312.0,0.689555,0.530832
315.0,0.698225,0.530097
318.0,0.706415,0.530017
321.0,0.7140890000000001,0.530798
324.0,0.721279,0.532327
327.0,0.727981,0.534615
330.0,0.734192,0.537621
333.0,0.739859,0.541483
336.0,0.7449359999999999,0.546186
339.0,0.749395,0.551665
342.0,0.753166,0.5580430000000001
345.0,0.756202,0.565247
348.0,0.7584489999999999,0.5733550000000001
351.0,0.759955,0.5819840000000001
354.0,0.7607430000000001,0.5909949999999999
357.0,0.7608779999999999,0.600105
360.0,0.76039,0.6093029999999999
363.0,0.7593310000000001,0.618423
366.0,0.7577510000000001,0.627344
369.0,0.7556970000000001,0.6359560000000001
372.0,0.753161,0.644255
375.0,0.7501720000000001,0.6521640000000001
378.0,0.746729,0.659688
381.0,0.742873,0.666704
384.0,0.738648,0.673141
387.0,0.734078,0.678972
390.0,0.729224,0.6841510000000001
393.0,0.7240810000000001,0.688717
396.0,0.7186779999999999,0.692671
399.0,0.713025,0.696037
402.0,0.707148,0.6988270000000001
405.0,0.7010609999999999,0.701067
408.0,0.694774,0.702789
411.0,0.688308,0.704019
414.0,0.6816760000000001,0.704791
417.0,0.674864,0.705144
420.0,0.667925,0.7051109999999999
423.0,0.660879,0.7047329999999999
426.0,0.653729,0.7040529999999999
429.0,0.646513,0.703112
432.0,0.6392369999999999,0.701951
435.0,0.631884,0.700605
438.0,0.624495,0.6991109999999999
441.0,0.617049,0.697495
444.0,0.609545,0.695769
447.0,0.6019800000000001,0.6939569999999999
450.0,0.594381,0.6921069999999999
453.0,0.586775,0.690248
456.0,0.579153,0.688398
459.0,0.5715100000000001,0.686575
462.0,0.563824,0.684782
465.0,0.556128,0.6830510000000001
468.0,0.5484319999999999,0.681395
471.0,0.5407609999999999,0.6798270000000001
474.0,0.5331,0.678353
477.0,0.52545,0.676984
480.0,0.5178149999999999,0.675722
483.0,0.510205,0.6745800000000001
